,Wavelength,Luminosity
73,15567.836849069823,3.0182338764839905e+37
74,15520.72016141549,3.048798380241204e+37
75,15473.887814313346,3.08019140237913e+37
76,15427.337241592102,3.11269769430569e+37
77,15381.065907867414,3.145091076973513e+37
78,15335.07130808158,3.178305565802585e+37
79,15289.350967051449,3.2114510629216704e+37
80,15243.90243902439,3.248357511361745e+37
81,15198.723307242191,3.284807254763562e+37
82,15153.811183512653,3.3208476982229355e+37
83,15109.163707788774,3.355948036127949e+37
84,15064.778547755348,3.390939051864395e+37
85,15020.65339842283,3.426145260748956e+37
86,14976.78598172832,3.461168190843458e+37
87,14933.174046143507,3.4967113467677426e+37
88,14889.815366289458,3.5322465863975798e+37
89,14846.707742558088,3.568492738437437e+37
90,14803.849000740192,3.6058421430785874e+37
91,14761.2369916599,3.6443606721535377e+37
92,14718.869590815424,3.6843500194683215e+37
93,14676.744698025977,3.726250416931795e+37
94,14634.860237084737,3.7710233650472265e+37
95,14593.21415541773,3.8180151293222164e+37
96,14551.804423748546,3.8665304531454014e+37
97,14510.629035768701,3.914857595295941e+37
98,14469.686007813632,3.961764514523737e+37
99,14428.973378544119,4.009060916401054e+37
100,14388.489208633096,4.0496063249430893e+37
101,14348.23158045771,4.0803063933549025e+37
102,14308.198597796538,4.102497420867474e+37
103,14268.388385531856,4.1187990596059013e+37
104,14228.79908935686,4.1321517011811575e+37
105,14189.428875487763,4.1458379548514086e+37
106,14150.275930380643,4.1610292305398185e+37
107,14111.338460452975,4.1774805739933534e+37
108,14072.61469180974,4.1981442089979663e+37
109,14034.10286997404,4.2212297243052897e+37
110,13995.801259622114,4.245732338946696e+37
111,13957.708144322703,4.275256719030736e+37
112,13919.821826280626,4.335866152684097e+37
113,13882.140626084543,4.420795183007625e+37
114,13844.662882458813,4.499697187111908e+37
115,13807.386952019331,4.578392543984985e+37
116,13770.311209033325,4.647178622277567e+37
117,13733.434045183,4.715055120251467e+37
118,13696.75386933297,4.7773224987832485e+37
119,13660.269107301414,4.837484873874244e+37
120,13623.978201634878,4.896515167753171e+37
121,13587.879611386645,4.943856864899254e+37
122,13551.971811898633,4.9875679795757165e+37
123,13516.253294586742,5.021924559856483e+37
124,13480.722566729579,5.049982834257552e+37
125,13445.378151260506,5.06984452391277e+37
126,13410.218586562962,5.089581250956621e+37
