,Wavelength,Luminosity
0,20000.0,1.2291226675782663e+37
1,19922.303018228908,1.246379928797235e+37
2,19845.207382417146,1.2636981745507582e+37
3,19768.706138183254,1.2817059884345322e+37
4,19692.792437967706,1.3028555416494778e+37
5,19617.4595389897,1.3263964741286805e+37
6,19542.700801250732,1.3525819644112457e+37
7,19468.50968558357,1.3824212678245438e+37
8,19394.87975174554,1.4172665990645254e+37
9,19321.804656554923,1.4582920449287376e+37
10,19249.278152069295,1.5027963696997968e+37
11,19177.294083804773,1.5524364114787002e+37
12,19105.846388995033,1.6070553234455709e+37
13,19034.92909488912,1.6665441676146933e+37
14,18964.536317087048,1.7326747322632776e+37
15,18894.66225791214,1.8071695511906558e+37
16,18825.301204819276,1.8930906549438883e+37
17,18756.447528838038,1.9930412277889452e+37
18,18688.095683049898,2.111848986768499e+37
19,18620.240201098593,2.244953695730019e+37
20,18552.875695732837,2.39316206898299e+37
21,18485.996857380534,2.5704669094775835e+37
22,18419.59845275373,2.7763032419613306e+37
23,18353.675323483527,3.0048098556428637e+37
24,18288.2223847842,3.2845420536917366e+37
25,18223.234624145785,3.5860925746706203e+37
26,18158.70710005448,3.9299384522730875e+37
27,18094.63494074007,4.309898641582005e+37
28,18031.013342949875,4.778698821460875e+37
29,17967.83757074836,5.276427219078092e+37
30,17905.102954341986,5.7008461327214835e+37
31,17842.80488892854,6.119615392389869e+37
32,17780.938833570413,6.482150042024994e+37
33,17719.500310091258,6.772715068623825e+37
34,17658.48490199541,7.0401469717442935e+37
35,17597.88825340959,7.283190055344749e+37
36,17537.7060680463,7.514334352212051e+37
37,17477.934108188412,7.728987182717808e+37
38,17418.56819369448,7.790649779068977e+37
39,17359.604201024216,7.176746289979782e+37
40,17301.038062283737,5.520271887987484e+37
41,17242.865764290025,2.9763095709787424e+37
42,17185.083347654236,2.266276614855617e+37
43,17127.68690588336,2.3370084614963384e+37
44,17070.67258449983,2.416074033095163e+37
45,17014.036580178647,2.5067018952627613e+37
46,16957.775139901645,2.5924374360626247e+37
47,16901.884560128452,2.677279517267808e+37
48,16846.361185983827,2.762124057794478e+37
49,16791.20141046092,2.8463479567656977e+37
50,16736.401673640165,2.926488223442501e+37
51,16681.95846192343,3.014912788029968e+37
52,16627.868307283006,3.1147015067631483e+37
53,16574.127786525234,3.2489240577750253e+37
54,16520.733520568312,3.489424135887998e+37
55,16467.682173734047,3.781827493823216e+37
