,Wavelength,Luminosity
0,20000.0,6.222385240034416e+37
1,19922.303018228908,6.44345439202489e+37
2,19845.207382417146,6.645122727208589e+37
3,19768.706138183254,6.800503315155345e+37
4,19692.792437967706,5.596475898236385e+37
5,19617.4595389897,2.359914543250447e+37
6,19542.700801250732,1.334166207569363e+37
7,19468.50968558357,1.354730266556895e+37
8,19394.87975174554,1.3792477157931707e+37
9,19321.804656554923,1.4027676753414468e+37
10,19249.278152069295,1.425514950857743e+37
11,19177.294083804773,1.4515686567609864e+37
12,19105.846388995033,1.479187037827465e+37
13,19034.92909488912,1.5058552059891591e+37
14,18964.536317087048,1.5313648234041028e+37
15,18894.66225791214,1.5562990019360584e+37
16,18825.301204819276,1.5799464557366965e+37
17,18756.447528838038,1.604118265985351e+37
18,18688.095683049898,1.626398317505549e+37
19,18620.240201098593,1.6472682315745462e+37
20,18552.875695732837,1.6679986287521401e+37
21,18485.996857380534,1.6884692466058267e+37
22,18419.59845275373,1.7062039127132512e+37
23,18353.675323483527,1.7223401840869639e+37
24,18288.2223847842,1.7384966341772527e+37
25,18223.234624145785,1.753776799560182e+37
26,18158.70710005448,1.7703903141077375e+37
27,18094.63494074007,1.7875056414423716e+37
28,18031.013342949875,1.7725774952724274e+37
29,17967.83757074836,1.7820813376621383e+37
30,17905.102954341986,1.8036314790516415e+37
31,17842.80488892854,1.8357390495179895e+37
32,17780.938833570413,1.860946547669723e+37
33,17719.500310091258,1.8840622129011517e+37
34,17658.48490199541,1.9055803866212903e+37
35,17597.88825340959,1.9240025885922743e+37
36,17537.7060680463,1.9495783807130054e+37
37,17477.934108188412,1.9804041714426078e+37
38,17418.56819369448,2.0100478228668257e+37
39,17359.604201024216,2.036975931428371e+37
40,17301.038062283737,2.078654742987459e+37
41,17242.865764290025,2.1306443267313913e+37
42,17185.083347654236,2.1813255020515042e+37
43,17127.68690588336,2.239502636216471e+37
44,17070.67258449983,2.303618291577053e+37
45,17014.036580178647,2.3749798998643006e+37
46,16957.775139901645,2.4414721513728e+37
47,16901.884560128452,2.5057105481157225e+37
48,16846.361185983827,2.565644521728863e+37
49,16791.20141046092,2.620655370820251e+37
50,16736.401673640165,2.66096008868153e+37
51,16681.95846192343,2.708103109800802e+37
52,16627.868307283006,2.7547965506292495e+37
53,16574.127786525234,2.819296686703964e+37
54,16520.733520568312,2.961146310031732e+37
55,16467.682173734047,3.1564443284484483e+37
56,16414.970453053185,3.346593844315938e+37
57,16362.595107584062,3.572866310405793e+37
58,16310.55292774425,3.7956060411510804e+37
59,16258.840744654906,4.082154402232032e+37
60,16207.455429497568,4.471228675826156e+37
61,16156.393892883107,4.921404383132929e+37
62,16105.653084232566,5.389952791697322e+37
63,16055.229991169623,5.88099465511255e+37
64,16005.121638924456,6.384399976880386e+37
65,15955.325089748701,6.856092924765533e+37
66,15905.837442341339,7.337031114047192e+37
67,15856.655831285181,7.793647599289408e+37
68,15807.777426493836,8.249858000865011e+37
69,15759.19943266882,8.706849829706465e+37
70,15710.919088766692,9.19194422150169e+37
71,15662.933667475918,9.68055840280582e+37
72,15615.240474703309,1.0216103567541282e+38
73,15567.836849069823,1.0785472774168027e+38
74,15520.72016141549,1.1324728647964816e+38
75,15473.887814313346,1.179268114007484e+38
76,15427.337241592102,1.216714255226106e+38
77,15381.065907867414,9.984562196076079e+37
