,Wavelength,Luminosity
0,20000.0,1.2682404286989106e+37
1,19922.303018228908,1.3035912308577986e+37
2,19845.207382417146,1.3436905931779464e+37
3,19768.706138183254,1.392116419688877e+37
4,19692.792437967706,1.4528060864049647e+37
5,19617.4595389897,1.5231519903673026e+37
6,19542.700801250732,1.60480573191534e+37
7,19468.50968558357,1.7016075311487068e+37
8,19394.87975174554,1.8189035341955134e+37
9,19321.804656554923,1.9558219319105095e+37
10,19249.278152069295,2.115733536147709e+37
11,19177.294083804773,2.302526268469272e+37
12,19105.846388995033,2.524766564944311e+37
13,19034.92909488912,2.7883198170356074e+37
14,18964.536317087048,3.0847236411279876e+37
15,18894.66225791214,3.4256501630640925e+37
16,18825.301204819276,3.8134643410845877e+37
17,18756.447528838038,4.243578215163002e+37
18,18688.095683049898,4.676968237242773e+37
19,18620.240201098593,5.110073766142431e+37
20,18552.875695732837,5.5347258159658195e+37
21,18485.996857380534,5.9403617919457e+37
22,18419.59845275373,6.369499669181732e+37
23,18353.675323483527,6.805867485452923e+37
24,18288.2223847842,7.27555105014339e+37
25,18223.234624145785,7.754839951546787e+37
26,18158.70710005448,8.194987589802922e+37
27,18094.63494074007,8.600937037220714e+37
28,18031.013342949875,8.897401442638762e+37
29,17967.83757074836,6.056966409948166e+37
30,17905.102954341986,5.737663695702362e+37
31,17842.80488892854,5.994727347981757e+37
32,17780.938833570413,6.245249912003376e+37
33,17719.500310091258,6.484111245925769e+37
34,17658.48490199541,6.732160901609337e+37
35,17597.88825340959,6.983657617990078e+37
36,17537.7060680463,6.768215438434266e+37
37,17477.934108188412,3.51694935842096e+37
38,17418.56819369448,3.29289781896313e+37
39,17359.604201024216,3.491254116783295e+37
40,17301.038062283737,3.736202053151516e+37
41,17242.865764290025,3.9865252515227194e+37
42,17185.083347654236,4.25480230326372e+37
43,17127.68690588336,4.541080412606062e+37
44,17070.67258449983,4.845462895361012e+37
45,17014.036580178647,5.190649724436635e+37
46,16957.775139901645,5.566782352620489e+37
47,16901.884560128452,5.986809057758334e+37
48,16846.361185983827,6.432038398127359e+37
49,16791.20141046092,6.952012132252867e+37
50,16736.401673640165,7.585931175037068e+37
51,16681.95846192343,8.258206451562594e+37
52,16627.868307283006,8.953501083251246e+37
53,16574.127786525234,9.646798598117828e+37
54,16520.733520568312,1.0326728824919608e+38
55,16467.682173734047,1.0879752658133202e+38
56,16414.970453053185,1.1306774078765276e+38
57,16362.595107584062,1.158169127396047e+38
58,16310.55292774425,1.1803705564134125e+38
59,16258.840744654906,1.1975745809066558e+38
60,16207.455429497568,1.2208260893823445e+38
61,16156.393892883107,1.1782294624106687e+38
62,16105.653084232566,1.0560087932430995e+38
63,16055.229991169623,8.337944461959263e+37
64,16005.121638924456,7.116483961670392e+37
65,15955.325089748701,7.295590705211942e+37
66,15905.837442341339,6.394015921467821e+37
67,15856.655831285181,3.4985097734080535e+37
68,15807.777426493836,3.6322722042351237e+37
69,15759.19943266882,3.8373541744137303e+37
70,15710.919088766692,4.056674799890213e+37
71,15662.933667475918,4.228052204004352e+37
72,15615.240474703309,4.383661808283536e+37
73,15567.836849069823,4.529997362747564e+37
74,15520.72016141549,4.661185967179775e+37
75,15473.887814313346,4.783780835582177e+37
76,15427.337241592102,4.901887617922279e+37
77,15381.065907867414,5.011445145458006e+37
78,15335.07130808158,5.116011686527069e+37
79,15289.350967051449,5.214122930593351e+37
80,15243.90243902439,5.292543536563673e+37
81,15198.723307242191,3.84451675347616e+37
82,15153.811183512653,3.335029128153963e+37
83,15109.163707788774,3.3706456198193e+37
84,15064.778547755348,3.406108529138805e+37
85,15020.65339842283,3.4414201978722805e+37
86,14976.78598172832,3.476721803287172e+37
87,14933.174046143507,3.5128573662260913e+37
88,14889.815366289458,3.549384064118221e+37
89,14846.707742558088,3.586235722912853e+37
90,14803.849000740192,3.6248863887714533e+37
91,14761.2369916599,3.6665469907395305e+37
92,14718.869590815424,3.7109824273063304e+37
93,14676.744698025977,3.756851427153656e+37
94,14634.860237084737,3.804389657222219e+37
95,14593.21415541773,3.8524996531758707e+37
96,14551.804423748546,3.9009858029999397e+37
97,14510.629035768701,3.9487837734459627e+37
98,14469.686007813632,3.9954526228228705e+37
99,14428.973378544119,4.0422812070961723e+37
100,14388.489208633096,4.082124794528553e+37
101,14348.23158045771,4.1124499591786946e+37
102,14308.198597796538,4.134012925295424e+37
103,14268.388385531856,4.1497069280743297e+37
104,14228.79908935686,4.162621569545768e+37
105,14189.428875487763,4.174715767574879e+37
106,14150.275930380643,4.1895987247992686e+37
107,14111.338460452975,4.2085366571852395e+37
108,14072.61469180974,4.233574648745646e+37
109,14034.10286997404,4.263360609083322e+37
110,13995.801259622114,4.296593972539291e+37
111,13957.708144322703,4.34395678797098e+37
112,13919.821826280626,4.41724636799341e+37
113,13882.140626084543,4.543195563274142e+37
114,13844.662882458813,4.638338515648076e+37
115,13807.386952019331,4.706391605162668e+37
116,13770.311209033325,4.79957933404457e+37
117,13733.434045183,4.918232119430743e+37
118,13696.75386933297,5.130739427080162e+37
119,13660.269107301414,5.46561132117165e+37
120,13623.978201634878,5.866010387835549e+37
121,13587.879611386645,6.249589294182591e+37
